1,0.01,0.001
1,0.005,0.0005
1,0.004,0.0004
1,0.00375,0.000375
1,0.0035,0.00035
1,0.00325,0.000325
0.48124,0.003,0.0003
0.26986,0.002,0.0002
0.12009,0.001,0.0001
0.052246,0.0005,5e-05
0,0.0001,1e-05
1,0.01,0.001
1,0.005,0.0005
1,0.004,0.0004
1,0.00375,0.000375
1,0.0035,0.00035
0.8357,0.00325,0.000325
0.47243,0.003,0.0003
0.3055,0.002,0.0002
0.10929,0.001,0.0001
0.087052,0.0005,5e-05
0,0.0001,1e-05
1,0.01,0.001
1,0.005,0.0005
1,0.004,0.0004
1,0.00375,0.000375
1,0.0035,0.00035
1,0.00325,0.000325
0.57013,0.003,0.0003
0.30109,0.002,0.0002
0.12815,0.001,0.0001
0.060491,0.0005,5e-05
0,0.0001,1e-05
1,0.01,0.001
1,0.005,0.0005
1,0.004,0.0004
1,0.00375,0.000375
1,0.0035,0.00035
1,0.00325,0.000325
0.42842,0.003,0.0003
0.37554,0.002,0.0002
0.12777,0.001,0.0001
0.069712,0.0005,5e-05
0,0.0001,1e-05
1,0.01,0.001
1,0.005,0.0005
1,0.004,0.0004
1,0.00375,0.000375
1,0.0035,0.00035
1,0.00325,0.000325
1,0.003,0.0003
0.23782,0.002,0.0002
0.15037,0.001,0.0001
0.056582,0.0005,5e-05
0,0.0001,1e-05
1,0.01,0.001
1,0.005,0.0005
1,0.004,0.0004
1,0.00375,0.000375
1,0.0035,0.00035
0.69557,0.00325,0.000325
0.56605,0.003,0.0003
0.27684,0.002,0.0002
0.11917,0.001,0.0001
0.066545,0.0005,5e-05
0,0.0001,1e-05
1,0.01,0.001
1,0.005,0.0005
1,0.004,0.0004
1,0.00375,0.000375
1,0.0035,0.00035
0.87938,0.00325,0.000325
0.56166,0.003,0.0003
0.20372,0.002,0.0002
0.11312,0.001,0.0001
0.065027,0.0005,5e-05
0,0.0001,1e-05
1,0.01,0.001
1,0.005,0.0005
1,0.004,0.0004
1,0.00375,0.000375
1,0.0035,0.00035
1,0.00325,0.000325
0.74785,0.003,0.0003
0.35439,0.002,0.0002
0.11591,0.001,0.0001
0.05121,0.0005,5e-05
0,0.0001,1e-05
1,0.01,0.001
1,0.005,0.0005
1,0.004,0.0004
1,0.00375,0.000375
1,0.0035,0.00035
0.90935,0.00325,0.000325
0.50343,0.003,0.0003
0.27952,0.002,0.0002
0.12941,0.001,0.0001
0.069416,0.0005,5e-05
0,0.0001,1e-05
1,0.01,0.001
1,0.005,0.0005
1,0.004,0.0004
1,0.00375,0.000375
0.62889,0.0035,0.00035
0.97348,0.00325,0.000325
0.83892,0.003,0.0003
0.28755,0.002,0.0002
0.12609,0.001,0.0001
0,0.0005,5e-05
0,0.0001,1e-05
